title,link
Congo Investigation a Chance to Fight Corruption,{'https://news.google.com/articles/CBMiT2h0dHBzOi8vd3d3Lmhydy5vcmcvbmV3cy8yMDIxLzEyLzAyL2NvbmdvLWludmVzdGlnYXRpb24tY2hhbmNlLWZpZ2h0LWNvcnJ1cHRpb27SAQA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
How to Cure Creeping Kleptocracy - Inkstick,{'https://news.google.com/articles/CBMiO2h0dHBzOi8vaW5rc3RpY2ttZWRpYS5jb20vaG93LXRvLWN1cmUtY3JlZXBpbmcta2xlcHRvY3JhY3kv0gEA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Fight against corruption gains momentum in DRC,{'https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LmFmcmljYW5ld3MuY29tLzIwMjEvMTAvMTQvZmlnaHQtYWdhaW5zdC1jb3JydXB0aW9uLWdhaW5zLW1vbWVudHVtLWluLWRyYy_SAVlodHRwczovL3d3dy5hZnJpY2FuZXdzLmNvbS9hbXAvMjAyMS8xMC8xNC9maWdodC1hZ2FpbnN0LWNvcnJ1cHRpb24tZ2FpbnMtbW9tZW50dW0taW4tZHJjLw?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Congo says it has to fight joint enemy with Uganda as soldiers cross border,{'https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FmcmljYS9odW5kcmVkcy11Z2FuZGFuLXRyb29wcy1jcm9zcy1pbnRvLWNvbmdvLW9mZmVuc2l2ZS13aWRlbnMtMjAyMS0xMi0wMS_SAQA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
DLIELC holds Democratic Republic of Congo promotion ceremony,{'https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LmFldGMuYWYubWlsL05ld3MvQXJ0aWNsZS1EaXNwbGF5L0FydGljbGUvMjg2MDE0Ny9kbGllbGMtaG9sZHMtZGVtb2NyYXRpYy1yZXB1YmxpYy1vZi1jb25nby1wcm9tb3Rpb24tY2VyZW1vbnkv0gEA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Hunt for the ‘Blood Diamond of Batteries’ Impedes Green Energy Push,{'https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjEvMTEvMjkvd29ybGQvY29uZ28tY29iYWx0LWFsYmVydC15dW1hLW11bGltYmkuaHRtbNIBUmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjEvMTEvMjkvd29ybGQvY29uZ28tY29iYWx0LWFsYmVydC15dW1hLW11bGltYmkuYW1wLmh0bWw?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Congo's government has banned songs that annoy it,{'https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3LmVjb25vbWlzdC5jb20vbWlkZGxlLWVhc3QtYW5kLWFmcmljYS8yMDIxLzExLzI1L2Nvbmdvcy1nb3Zlcm5tZW50LWhhcy1iYW5uZWQtc29uZ3MtdGhhdC1hbm5veS1pdNIBAA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
A Power Struggle Over Cobalt Rattles the Clean Energy Revolution,{'https://news.google.com/articles/CBMiQGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjEvMTEvMjAvd29ybGQvY2hpbmEtY29uZ28tY29iYWx0Lmh0bWzSAURodHRwczovL3d3dy5ueXRpbWVzLmNvbS8yMDIxLzExLzIwL3dvcmxkL2NoaW5hLWNvbmdvLWNvYmFsdC5hbXAuaHRtbA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
"Democracy, corruption, and U.S. policy in the Democratic Republic of the Congo",{'https://news.google.com/articles/CBMijwFodHRwczovL3d3dy5icm9va2luZ3MuZWR1L2V2ZW50cy9kZW1vY3JhY3ktYW5kLWNvcnJ1cHRpb24taW4tdGhlLWRlbW9jcmF0aWMtcmVwdWJsaWMtb2YtdGhlLWNvbmdvLXR3by15ZWFycy1pbnRvLXRoZS10c2hpc2VrZWRpLWFkbWluaXN0cmF0aW9uL9IBkwFodHRwczovL3d3dy5icm9va2luZ3MuZWR1L2V2ZW50cy9kZW1vY3JhY3ktYW5kLWNvcnJ1cHRpb24taW4tdGhlLWRlbW9jcmF0aWMtcmVwdWJsaWMtb2YtdGhlLWNvbmdvLXR3by15ZWFycy1pbnRvLXRoZS10c2hpc2VrZWRpLWFkbWluaXN0cmF0aW9uL2FtcC8?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Electric cars are powered by rare metals. Can AI help find them?,{'https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3Lm5hdGlvbmFsZ2VvZ3JhcGhpYy5jb20vZW52aXJvbm1lbnQvYXJ0aWNsZS9lbGVjdHJpYy1jYXJzLWFyZS1wb3dlcmVkLWJ5LXJhcmUtbWV0YWxzLWNhbi1haS1oZWxwLWZpbmQtdGhlbdIBjQFodHRwczovL2FwaS5uYXRpb25hbGdlb2dyYXBoaWMuY29tL2Rpc3RyaWJ1dGlvbi9wdWJsaWMvYW1wL2Vudmlyb25tZW50L2FydGljbGUvZWxlY3RyaWMtY2Fycy1hcmUtcG93ZXJlZC1ieS1yYXJlLW1ldGFscy1jYW4tYWktaGVscC1maW5kLXRoZW0?hl=en-KE&gl=KE&ceid=KE%3Aen'}
