,username,user_location,user_description,user_verified,date,text,hashtags,source
0,London,South Africa,"DJ/
producer/
Graphic Designer/
Entrepreneur 
_________________________
I just wanna make a living off all that☝",False,2022-01-07 21:33:19+00:00,Corona is red 😭😭 https://t.co/SDqI91woFL,,Twitter for Android
1,Esther Destina,België,25 | 🇹🇷 | ♎️,False,2022-01-07 21:30:47+00:00,Tested positive for corona &lt;/3,,Twitter for iPhone
2,Cheryl Fontini,Cape Town,,False,2022-01-07 19:24:48+00:00,"United Kingdom 🇬🇧 
Study finds masks in schools virtually useless.

South Africa 🇿🇦 
NICD advises over-the-counter masks are useless.

Anyone who knows the size of a Corona virus particle   knowns this. https://t.co/g9s552pFbF https://t.co/apj55UeFAY",,Twitter Web App
3,Aunt Wabantwana,South Africa,It’s not that deep! | Tlogela go batla corner mo circle’eng,False,2022-01-07 17:50:00+00:00,@MatsatsiMaredi 6 pack ya corona and a meal made by you 😇,,Twitter for iPhone
4,johan,België,#ALWAYSFNATIC,False,2022-01-07 17:37:37+00:00,"@VettedBets lmao, Bayern has 13 players with corona or injuries",,Twitter Web App
5,Erika follow GTTR ⭕@Getwine,Cape Town ,"Corruption, fraud, bad governance,     incompetence, crime, unemployment, violence 
Economic downfall.. are you not tired of this?
WE ARE. Let's free the Cape",False,2022-01-07 17:21:14+00:00,"🔴PANDEMIC OF GARBAGE

This photo shows the consequences of the insane Corona policy: masks, gloves, test kits, face shields and other plastic waste. Where are the climate alarmists? Hiding behind three masks, already waiting for the next vaccine....
SHARE this far and wide https://t.co/v9e4VkxpIX",,Twitter for Android
6,malcolm_murray,"Cape Town, South Africa","Farmer and fisher. Building a community based on ethical free trade. “If socialists understood economics they wouldn't be socialists.” 
― Friedrich Hayek",False,2022-01-07 16:38:46+00:00,Corona lack of maintenance virus. https://t.co/UZLGJb8NXV,,Twitter Web App
7,Bapaletswe Diphoko,South Africa,"The power of a seed is not in its fruit, but in its death",False,2022-01-07 15:06:47+00:00,@KeletsoMss Atleast we stand a chance to choose which place to visit based on its hotness... The hotter it is the better.. Corona is not there...😎😎😎,,Twitter for Android
8,Currently Infested with Corona 🦠,"Cape Town, South Africa",Auto-correct says I'm not who I say I am // Reality is a lovely place but I wouldn't want to live there. #TSLA #BTC Bull,False,2022-01-07 14:52:50+00:00,"I still don't know where I got Corona 😭

No one I know and saw last week has any symptoms or family with symptoms or anyone that tested positive that they know about.

It's so frustrating!!",,Twitter for Android
9,A Pisces,South Africa,Here for kikikis || unproblematic,False,2022-01-07 13:41:07+00:00,@da_voc Just nje. I’ll buy you Corona,,Twitter for iPhone
10,Black Heathen,"Cape Town, South Africa",Free Spirited,False,2022-01-07 10:46:53+00:00,@SuperSportTV Barçelona is just wrong: they loaned Coutinho to Bayern and still are loaning him to Aston Villa..this is career and confidence destroying. Give him to the team that will appreciate him.,,Twitter for iPhone
11,Haider,Somewhere on the road,Lights out and away we go. #Petrolicious #TeamLH @f1,False,2022-01-07 10:10:01+00:00,Just wanna tell you that Karachi eat is overpriced with average food nothing special plus its crowded but if you still want to go? Its your choice. There’s literally nothing special about it. And probably I think it wont happen cause of corona shit,,Twitter for iPhone
12,Dan Larusso.,South Africa,20%,False,2022-01-07 10:09:37+00:00,La Corona izohla kamnandi when I'm done with all this admin..,,Twitter for Android
13,shangaan prince👑🦄🌈,Azania 🇿🇦,"Digital content creator, lifestyle,..IG:chrisray1130 👑",False,2022-01-07 08:26:56+00:00,Last time Trevor was here with Bill Gates kwa vela I Corona......manje he came back alone ? I wonder ba mthume ini 🤔 😅 https://t.co/0EOyiOpTve,,Twitter for Android
14,Pieter Botha,cape town,"Opensource:Linux/Mysql/Php/Node/JavaScrpit/AngularJs/HTML5/SCSS/CSS/ Developer and solutions architect.
Philosophy/ Sovereignty/ Reason/ Logic/ #Bitcoin",False,2022-01-07 07:48:53+00:00,"#Nuremberg2 #Nuremberg #NurembergTrialsForCovid 
ANC leaders will find themselves in the the Nuremberg court explaining their actions and the evidence they acted on.
The Corona Command Council will be hanged for TREASON against the people of #SouthAfrica
https://t.co/zVMx15UXcJ https://t.co/h6x5TGaLaL","['Nuremberg2', 'Nuremberg', 'NurembergTrialsForCovid']",Twitter Web App
15,toloki...........................................?,South Africa,Black Conscious,False,2022-01-07 07:39:48+00:00,@HermanMashaba Don’t bring us corona the virus but the beer.,,Twitter for iPhone
